Ref,Val,Package,PosX,PosY,Rot,Side
"SW57","SW_Push","SW_Cherry_MX_1.00u_PCB",230.777500,-95.730000,180.000000,top
"SW58","SW_Push","SW_Cherry_MX_1.00u_PCB",249.827500,-95.730000,180.000000,top
"SW59","SW_Push","SW_Cherry_MX_1.00u_PCB",280.783800,-95.730000,180.000000,top
"SW60","SW_Push","SW_Cherry_MX_1.00u_PCB",311.740000,-95.730000,180.000000,top
"SW61","SW_Push","SW_Cherry_MX_1.00u_PCB",37.896300,-114.780000,180.000000,top
"SW62","SW_Push","SW_Cherry_MX_1.00u_PCB",68.852500,-114.780000,180.000000,top
"SW63","SW_Push","SW_Cherry_MX_1.00u_PCB",87.902500,-114.780000,180.000000,top
"SW64","SW_Push","SW_Cherry_MX_1.00u_PCB",106.952500,-114.780000,180.000000,top
"SW65","SW_Push","SW_Cherry_MX_1.00u_PCB",126.002500,-114.780000,180.000000,top
"SW66","SW_Push","SW_Cherry_MX_1.00u_PCB",145.052500,-114.780000,180.000000,top
"SW67","SW_Push","SW_Cherry_MX_1.00u_PCB",164.102500,-114.780000,180.000000,top
"SW68","SW_Push","SW_Cherry_MX_1.00u_PCB",183.152500,-114.780000,180.000000,top
"SW69","SW_Push","SW_Cherry_MX_1.00u_PCB",202.202500,-114.780000,180.000000,top
"SW70","SW_Push","SW_Cherry_MX_1.00u_PCB",221.252500,-114.780000,180.000000,top
"SW71","SW_Push","SW_Cherry_MX_1.00u_PCB",240.302500,-114.780000,180.000000,top
"SW72","SW_Push","SW_Cherry_MX_1.00u_PCB",266.496300,-114.780000,180.000000,top
"SW73","SW_Push","SW_Cherry_MX_1.00u_PCB",292.690000,-114.780000,180.000000,top
"SW74","SW_Push","SW_Cherry_MX_1.00u_PCB",311.740000,-114.780000,180.000000,top
"SW75","SW_Push","SW_Cherry_MX_1.00u_PCB",28.371300,-133.830000,180.000000,top
"SW76","SW_Push","SW_Cherry_MX_1.00u_PCB",52.183800,-133.830000,180.000000,top
"SW77","SW_Push","SW_Cherry_MX_1.00u_PCB",75.996300,-133.830000,180.000000,top
"SW78","SW_Push","SW_Cherry_MX_1.00u_PCB",147.433800,-133.830000,180.000000,top
"SW79","SW_Push","SW_Cherry_MX_1.00u_PCB",216.490000,-133.830000,180.000000,top
"SW80","SW_Push","SW_Cherry_MX_1.00u_PCB",235.540000,-133.830000,180.000000,top
"SW81","SW_Push","SW_Cherry_MX_1.00u_PCB",254.590000,-133.830000,180.000000,top
"SW82","SW_Push","SW_Cherry_MX_1.00u_PCB",273.640000,-133.830000,180.000000,top
"SW83","SW_Push","SW_Cherry_MX_1.00u_PCB",292.690000,-133.830000,180.000000,top
"SW84","SW_Push","SW_Cherry_MX_1.00u_PCB",311.740000,-133.830000,180.000000,top
